t3,t3.micro,2,1,0.0118000000
i3,i3.large,2,15.25,0.1810000000
m5,m5.2xlarge,8,32,0.4440000000
r5,r5.2xlarge,8,64,0.5920000000
m5,m5.4xlarge,16,64,0.8880000000
c4,c4.xlarge,4,7.5,0.2370000000
r5d,r5d.4xlarge,16,128,1.3520000000
r4,r4.4xlarge,16,122,1.2480000000
c5,c5.large,2,4,0.1010000000
m5,m5.24xlarge,96,384,5.3280000000
r5d,r5d.2xlarge,8,64,0.6760000000
r4,r4.2xlarge,8,61,0.6240000000
t3,t3.nano,2,0.5,0.0059000000
r4,r4.xlarge,4,30.5,0.3120000000
r5,r5.24xlarge,96,768,7.1040000000
t3,t3.small,2,2,0.0236000000
i3,i3.2xlarge,8,61,0.7240000000
r4,r4.large,2,15.25,0.1560000000
r4,r4.16xlarge,64,488,4.9920000000
r5d,r5d.12xlarge,48,384,4.0560000000
d2,d2.8xlarge,36,244,6.1740000000
c5,c5.xlarge,4,8,0.2020000000
t3,t3.medium,2,4,0.0472000000
m5d,m5d.12xlarge,48,192,3.1440000000
t2,t2.2xlarge,8,32,0.4224000000
t2,t2.medium,2,4,0.0520000000
c5d,c5d.2xlarge,8,16,0.4600000000
t2,t2.micro,1,1,0.0132000000
m4,m4.10xlarge,40,160,2.3200000000
p3,p3.8xlarge,32,244,14.3560000000
t2,t2.small,1,2,0.0260000000
m5d,m5d.large,2,8,0.1310000000
m5,m5.xlarge,4,16,0.2220000000
m4,m4.large,2,8,0.1160000000
m4,m4.xlarge,4,16,0.2320000000
m5d,m5d.4xlarge,16,64,1.0480000000
c5d,c5d.18xlarge,72,144,4.1400000000
p3,p3.16xlarge,64,488,28.7120000000
m4,m4.4xlarge,16,64,0.9280000000
c4,c4.2xlarge,8,15,0.4760000000
c5,c5.18xlarge,72,144,3.6360000000
r5d,r5d.large,2,16,0.1690000000
d2,d2.2xlarge,8,61,1.5440000000
t2,t2.xlarge,4,16,0.2112000000
m5d,m5d.2xlarge,8,32,0.5240000000
c5,c5.9xlarge,36,72,1.8180000000
r5,r5.large,2,16,0.1480000000
r5,r5.12xlarge,48,384,3.5520000000
r5d,r5d.24xlarge,96,768,8.1120000000
i3,i3.metal,72,512,5.7920000000
t3,t3.large,2,8,0.0944000000
i3,i3.16xlarge,64,488,5.7920000000
p3,p3.2xlarge,8,61,3.5890000000
r5,r5.4xlarge,16,128,1.1840000000
i3,i3.4xlarge,16,122,1.4480000000
c5d,c5d.4xlarge,16,32,0.9200000000
c5,c5.4xlarge,16,32,0.8080000000
m5,m5.12xlarge,48,192,2.6640000000
c4,c4.large,2,3.75,0.1190000000
t3,t3.2xlarge,8,32,0.3776000000
c4,c4.4xlarge,16,30,0.9500000000
d2,d2.xlarge,4,30.5,0.7720000000
c5d,c5d.large,2,4,0.1150000000
r5,r5.xlarge,4,32,0.2960000000
d2,d2.4xlarge,16,122,3.0870000000
i3,i3.8xlarge,32,244,2.8960000000
x1,x1.16xlarge,64,976,8.4030000000
m4,m4.16xlarge,64,256,3.7120000000
r5d,r5d.xlarge,4,32,0.3380000000
r4,r4.8xlarge,32,244,2.4960000000
t3,t3.xlarge,4,16,0.1888000000
c5,c5.2xlarge,8,16,0.4040000000
t2,t2.nano,1,0.5,0.0066000000
m5,m5.large,2,8,0.1110000000
c5d,c5d.xlarge,4,8,0.2300000000
c4,c4.8xlarge,36,60,1.9020000000
c5d,c5d.9xlarge,36,72,2.0700000000
x1,x1.32xlarge,128,1952,16.8060000000
m5d,m5d.24xlarge,96,384,6.2880000000
t2,t2.large,2,8,0.1056000000
m4,m4.2xlarge,8,32,0.4640000000
i3,i3.xlarge,4,30.5,0.3620000000
m5d,m5d.xlarge,4,16,0.2620000000